ROWID,Country,State lgd code,State,YearCode,Year,Type of area,Gender,Highest level of education completed,Percentage distribution of persons,Number of estimated persons ,Number of sample persons,Number of estimated persons excluding,Number of estimated persons including,Number of sample persons excluding,Number of sample persons including
9121,India,17,Meghalaya,2017,"Agriculture Year (Jul - Jun), 2017",Rural+Urban,Persons,Literate & Upto Primary,33.2,18601,4158,,,,
9122,India,17,Meghalaya,2017,"Agriculture Year (Jul - Jun), 2017",Rural+Urban,Persons,Middle,33.8,18601,4158,,,,
9123,India,17,Meghalaya,2017,"Agriculture Year (Jul - Jun), 2017",Rural+Urban,Persons,Not Literate,6.8,18601,4158,,,,
9124,India,17,Meghalaya,2017,"Agriculture Year (Jul - Jun), 2017",Rural+Urban,Persons,Post Graduate & Above,1,18601,4158,,,,
9125,India,17,Meghalaya,2017,"Agriculture Year (Jul - Jun), 2017",Rural+Urban,Persons,Secondary,10.9,18601,4158,,,,
9126,India,17,Meghalaya,2017,"Agriculture Year (Jul - Jun), 2017",Rural+Urban,Persons,Secondary & Above,26.2,18601,4158,,,,
9127,India,17,Meghalaya,2017,"Agriculture Year (Jul - Jun), 2017",Urban,Female,Diploma/Certificate Course,0.2,1933,739,,,,
9128,India,17,Meghalaya,2017,"Agriculture Year (Jul - Jun), 2017",Urban,Female,Graduate,15.4,1933,739,,,,
9129,India,17,Meghalaya,2017,"Agriculture Year (Jul - Jun), 2017",Urban,Female,Higher Secondary,14.9,1933,739,,,,
9130,India,17,Meghalaya,2017,"Agriculture Year (Jul - Jun), 2017",Urban,Female,Literate & Upto Primary,18.9,1933,739,,,,
9131,India,17,Meghalaya,2017,"Agriculture Year (Jul - Jun), 2017",Urban,Female,Middle,27.8,1933,739,,,,
9132,India,17,Meghalaya,2017,"Agriculture Year (Jul - Jun), 2017",Urban,Female,Not Literate,5.2,1933,739,,,,
9133,India,17,Meghalaya,2017,"Agriculture Year (Jul - Jun), 2017",Urban,Female,Post Graduate & Above,5,1933,739,,,,
9134,India,17,Meghalaya,2017,"Agriculture Year (Jul - Jun), 2017",Urban,Female,Secondary,12.7,1933,739,,,,
9135,India,17,Meghalaya,2017,"Agriculture Year (Jul - Jun), 2017",Urban,Female,Secondary & Above,48.1,1933,739,,,,
9136,India,17,Meghalaya,2017,"Agriculture Year (Jul - Jun), 2017",Urban,Male,Diploma/Certificate Course,0,1826,674,,,,
9137,India,17,Meghalaya,2017,"Agriculture Year (Jul - Jun), 2017",Urban,Male,Graduate,17.2,1826,674,,,,
9138,India,17,Meghalaya,2017,"Agriculture Year (Jul - Jun), 2017",Urban,Male,Higher Secondary,17.2,1826,674,,,,
9139,India,17,Meghalaya,2017,"Agriculture Year (Jul - Jun), 2017",Urban,Male,Literate & Upto Primary,16.3,1826,674,,,,
9140,India,17,Meghalaya,2017,"Agriculture Year (Jul - Jun), 2017",Urban,Male,Middle,26,1826,674,,,,
9141,India,17,Meghalaya,2017,"Agriculture Year (Jul - Jun), 2017",Urban,Male,Not Literate,1.8,1826,674,,,,
9142,India,17,Meghalaya,2017,"Agriculture Year (Jul - Jun), 2017",Urban,Male,Post Graduate & Above,4,1826,674,,,,
9143,India,17,Meghalaya,2017,"Agriculture Year (Jul - Jun), 2017",Urban,Male,Secondary,17.6,1826,674,,,,
9144,India,17,Meghalaya,2017,"Agriculture Year (Jul - Jun), 2017",Urban,Male,Secondary & Above,56,1826,674,,,,
9145,India,17,Meghalaya,2017,"Agriculture Year (Jul - Jun), 2017",Urban,Persons,Diploma/Certificate Course,0.1,3759,1413,,,,
9146,India,17,Meghalaya,2017,"Agriculture Year (Jul - Jun), 2017",Urban,Persons,Graduate,16.3,3759,1413,,,,
9147,India,17,Meghalaya,2017,"Agriculture Year (Jul - Jun), 2017",Urban,Persons,Higher Secondary,16,3759,1413,,,,
9148,India,17,Meghalaya,2017,"Agriculture Year (Jul - Jun), 2017",Urban,Persons,Literate & Upto Primary,17.6,3759,1413,,,,
9149,India,17,Meghalaya,2017,"Agriculture Year (Jul - Jun), 2017",Urban,Persons,Middle,26.9,3759,1413,,,,
9150,India,17,Meghalaya,2017,"Agriculture Year (Jul - Jun), 2017",Urban,Persons,Not Literate,3.5,3759,1413,,,,
9151,India,17,Meghalaya,2017,"Agriculture Year (Jul - Jun), 2017",Urban,Persons,Post Graduate & Above,4.5,3759,1413,,,,
9152,India,17,Meghalaya,2017,"Agriculture Year (Jul - Jun), 2017",Urban,Persons,Secondary,15,3759,1413,,,,
9153,India,17,Meghalaya,2017,"Agriculture Year (Jul - Jun), 2017",Urban,Persons,Secondary & Above,51.9,3759,1413,,,,
9154,India,17,Meghalaya,2018,"Agriculture Year (Jul - Jun), 2018",Rural,Female,Diploma/Certificate Course,0.1,,,7152,7152,1315,1315
9155,India,17,Meghalaya,2018,"Agriculture Year (Jul - Jun), 2018",Rural,Female,Graduate,3.4,,,7152,7152,1315,1315
9156,India,17,Meghalaya,2018,"Agriculture Year (Jul - Jun), 2018",Rural,Female,Higher Secondary,5.8,,,7152,7152,1315,1315
9157,India,17,Meghalaya,2018,"Agriculture Year (Jul - Jun), 2018",Rural,Female,Literate & Upto Primary,39.6,,,7152,7152,1315,1315
9158,India,17,Meghalaya,2018,"Agriculture Year (Jul - Jun), 2018",Rural,Female,Middle,33.3,,,7152,7152,1315,1315
9159,India,17,Meghalaya,2018,"Agriculture Year (Jul - Jun), 2018",Rural,Female,Not Literate,9.5,,,7152,7152,1315,1315
9160,India,17,Meghalaya,2018,"Agriculture Year (Jul - Jun), 2018",Rural,Female,Post Graduate & Above,0.2,,,7152,7152,1315,1315
9161,India,17,Meghalaya,2018,"Agriculture Year (Jul - Jun), 2018",Rural,Female,Secondary,8,,,7152,7152,1315,1315
9162,India,17,Meghalaya,2018,"Agriculture Year (Jul - Jun), 2018",Rural,Female,Secondary & Above,17.6,,,7152,7152,1315,1315
9163,India,17,Meghalaya,2018,"Agriculture Year (Jul - Jun), 2018",Rural,Male,Diploma/Certificate Course,0.1,,,7093,7093,1291,1291
9164,India,17,Meghalaya,2018,"Agriculture Year (Jul - Jun), 2018",Rural,Male,Graduate,3.4,,,7093,7093,1291,1291
9165,India,17,Meghalaya,2018,"Agriculture Year (Jul - Jun), 2018",Rural,Male,Higher Secondary,7.4,,,7093,7093,1291,1291
9166,India,17,Meghalaya,2018,"Agriculture Year (Jul - Jun), 2018",Rural,Male,Literate & Upto Primary,35.3,,,7093,7093,1291,1291
9167,India,17,Meghalaya,2018,"Agriculture Year (Jul - Jun), 2018",Rural,Male,Middle,33.3,,,7093,7093,1291,1291
9168,India,17,Meghalaya,2018,"Agriculture Year (Jul - Jun), 2018",Rural,Male,Not Literate,9.6,,,7093,7093,1291,1291
9169,India,17,Meghalaya,2018,"Agriculture Year (Jul - Jun), 2018",Rural,Male,Post Graduate & Above,0.1,,,7093,7093,1291,1291
9170,India,17,Meghalaya,2018,"Agriculture Year (Jul - Jun), 2018",Rural,Male,Secondary,10.7,,,7093,7093,1291,1291
9171,India,17,Meghalaya,2018,"Agriculture Year (Jul - Jun), 2018",Rural,Male,Secondary & Above,21.8,,,7093,7093,1291,1291
9172,India,17,Meghalaya,2018,"Agriculture Year (Jul - Jun), 2018",Rural,Persons,Diploma/Certificate Course,0.1,,,14244,14244,2606,2606
9173,India,17,Meghalaya,2018,"Agriculture Year (Jul - Jun), 2018",Rural,Persons,Graduate,3.4,,,14244,14244,2606,2606
9174,India,17,Meghalaya,2018,"Agriculture Year (Jul - Jun), 2018",Rural,Persons,Higher Secondary,6.6,,,14244,14244,2606,2606
9175,India,17,Meghalaya,2018,"Agriculture Year (Jul - Jun), 2018",Rural,Persons,Literate & Upto Primary,37.5,,,14244,14244,2606,2606
9176,India,17,Meghalaya,2018,"Agriculture Year (Jul - Jun), 2018",Rural,Persons,Middle,33.3,,,14244,14244,2606,2606
9177,India,17,Meghalaya,2018,"Agriculture Year (Jul - Jun), 2018",Rural,Persons,Not Literate,9.6,,,14244,14244,2606,2606
9178,India,17,Meghalaya,2018,"Agriculture Year (Jul - Jun), 2018",Rural,Persons,Post Graduate & Above,0.2,,,14244,14244,2606,2606
9179,India,17,Meghalaya,2018,"Agriculture Year (Jul - Jun), 2018",Rural,Persons,Secondary,9.4,,,14244,14244,2606,2606
9180,India,17,Meghalaya,2018,"Agriculture Year (Jul - Jun), 2018",Rural,Persons,Secondary & Above,19.7,,,14244,14244,2606,2606
9181,India,17,Meghalaya,2018,"Agriculture Year (Jul - Jun), 2018",Rural+Urban,Female,Diploma/Certificate Course,0.1,,,8761,8761,2048,2048
9182,India,17,Meghalaya,2018,"Agriculture Year (Jul - Jun), 2018",Rural+Urban,Female,Graduate,5.4,,,8761,8761,2048,2048
9183,India,17,Meghalaya,2018,"Agriculture Year (Jul - Jun), 2018",Rural+Urban,Female,Higher Secondary,8,,,8761,8761,2048,2048
9184,India,17,Meghalaya,2018,"Agriculture Year (Jul - Jun), 2018",Rural+Urban,Female,Literate & Upto Primary,35.7,,,8761,8761,2048,2048
9185,India,17,Meghalaya,2018,"Agriculture Year (Jul - Jun), 2018",Rural+Urban,Female,Middle,32.5,,,8761,8761,2048,2048
9186,India,17,Meghalaya,2018,"Agriculture Year (Jul - Jun), 2018",Rural+Urban,Female,Not Literate,8.7,,,8761,8761,2048,2048
9187,India,17,Meghalaya,2018,"Agriculture Year (Jul - Jun), 2018",Rural+Urban,Female,Post Graduate & Above,0.7,,,8761,8761,2048,2048
9188,India,17,Meghalaya,2018,"Agriculture Year (Jul - Jun), 2018",Rural+Urban,Female,Secondary,8.9,,,8761,8761,2048,2048
9189,India,17,Meghalaya,2018,"Agriculture Year (Jul - Jun), 2018",Rural+Urban,Female,Secondary & Above,23.2,,,8761,8761,2048,2048
9190,India,17,Meghalaya,2018,"Agriculture Year (Jul - Jun), 2018",Rural+Urban,Male,Diploma/Certificate Course,0.3,,,8505,8505,1948,1948
9191,India,17,Meghalaya,2018,"Agriculture Year (Jul - Jun), 2018",Rural+Urban,Male,Graduate,5.5,,,8505,8505,1948,1948
9192,India,17,Meghalaya,2018,"Agriculture Year (Jul - Jun), 2018",Rural+Urban,Male,Higher Secondary,9.7,,,8505,8505,1948,1948
9193,India,17,Meghalaya,2018,"Agriculture Year (Jul - Jun), 2018",Rural+Urban,Male,Literate & Upto Primary,31.5,,,8505,8505,1948,1948
9194,India,17,Meghalaya,2018,"Agriculture Year (Jul - Jun), 2018",Rural+Urban,Male,Middle,32.4,,,8505,8505,1948,1948
9195,India,17,Meghalaya,2018,"Agriculture Year (Jul - Jun), 2018",Rural+Urban,Male,Not Literate,8.5,,,8505,8505,1948,1948
9196,India,17,Meghalaya,2018,"Agriculture Year (Jul - Jun), 2018",Rural+Urban,Male,Post Graduate & Above,0.5,,,8505,8505,1948,1948
9197,India,17,Meghalaya,2018,"Agriculture Year (Jul - Jun), 2018",Rural+Urban,Male,Secondary,11.7,,,8505,8505,1948,1948
9198,India,17,Meghalaya,2018,"Agriculture Year (Jul - Jun), 2018",Rural+Urban,Male,Secondary & Above,27.6,,,8505,8505,1948,1948
9199,India,17,Meghalaya,2018,"Agriculture Year (Jul - Jun), 2018",Rural+Urban,Persons,Diploma/Certificate Course,0.2,,,17265,17265,3996,3996
9200,India,17,Meghalaya,2018,"Agriculture Year (Jul - Jun), 2018",Rural+Urban,Persons,Graduate,5.4,,,17265,17265,3996,3996
9201,India,17,Meghalaya,2018,"Agriculture Year (Jul - Jun), 2018",Rural+Urban,Persons,Higher Secondary,8.9,,,17265,17265,3996,3996
9202,India,17,Meghalaya,2018,"Agriculture Year (Jul - Jun), 2018",Rural+Urban,Persons,Literate & Upto Primary,33.6,,,17265,17265,3996,3996
9203,India,17,Meghalaya,2018,"Agriculture Year (Jul - Jun), 2018",Rural+Urban,Persons,Middle,32.4,,,17265,17265,3996,3996
9204,India,17,Meghalaya,2018,"Agriculture Year (Jul - Jun), 2018",Rural+Urban,Persons,Not Literate,8.6,,,17265,17265,3996,3996
9205,India,17,Meghalaya,2018,"Agriculture Year (Jul - Jun), 2018",Rural+Urban,Persons,Post Graduate & Above,0.6,,,17265,17265,3996,3996
9206,India,17,Meghalaya,2018,"Agriculture Year (Jul - Jun), 2018",Rural+Urban,Persons,Secondary,10.3,,,17265,17265,3996,3996
9207,India,17,Meghalaya,2018,"Agriculture Year (Jul - Jun), 2018",Rural+Urban,Persons,Secondary & Above,25.4,,,17265,17265,3996,3996
9208,India,17,Meghalaya,2018,"Agriculture Year (Jul - Jun), 2018",Urban,Female,Diploma/Certificate Course,0.2,,,1609,1609,733,733
9209,India,17,Meghalaya,2018,"Agriculture Year (Jul - Jun), 2018",Urban,Female,Graduate,14.1,,,1609,1609,733,733
9210,India,17,Meghalaya,2018,"Agriculture Year (Jul - Jun), 2018",Urban,Female,Higher Secondary,18.1,,,1609,1609,733,733
9211,India,17,Meghalaya,2018,"Agriculture Year (Jul - Jun), 2018",Urban,Female,Literate & Upto Primary,18.2,,,1609,1609,733,733
9212,India,17,Meghalaya,2018,"Agriculture Year (Jul - Jun), 2018",Urban,Female,Middle,28.8,,,1609,1609,733,733
9213,India,17,Meghalaya,2018,"Agriculture Year (Jul - Jun), 2018",Urban,Female,Not Literate,4.9,,,1609,1609,733,733
9214,India,17,Meghalaya,2018,"Agriculture Year (Jul - Jun), 2018",Urban,Female,Post Graduate & Above,2.8,,,1609,1609,733,733
9215,India,17,Meghalaya,2018,"Agriculture Year (Jul - Jun), 2018",Urban,Female,Secondary,12.9,,,1609,1609,733,733
9216,India,17,Meghalaya,2018,"Agriculture Year (Jul - Jun), 2018",Urban,Female,Secondary & Above,48.1,,,1609,1609,733,733
9217,India,17,Meghalaya,2018,"Agriculture Year (Jul - Jun), 2018",Urban,Male,Diploma/Certificate Course,1,,,1412,1412,657,657
9218,India,17,Meghalaya,2018,"Agriculture Year (Jul - Jun), 2018",Urban,Male,Graduate,15.9,,,1412,1412,657,657
9219,India,17,Meghalaya,2018,"Agriculture Year (Jul - Jun), 2018",Urban,Male,Higher Secondary,21.3,,,1412,1412,657,657
9220,India,17,Meghalaya,2018,"Agriculture Year (Jul - Jun), 2018",Urban,Male,Literate & Upto Primary,12.4,,,1412,1412,657,657
9221,India,17,Meghalaya,2018,"Agriculture Year (Jul - Jun), 2018",Urban,Male,Middle,27.7,,,1412,1412,657,657
9222,India,17,Meghalaya,2018,"Agriculture Year (Jul - Jun), 2018",Urban,Male,Not Literate,2.9,,,1412,1412,657,657
9223,India,17,Meghalaya,2018,"Agriculture Year (Jul - Jun), 2018",Urban,Male,Post Graduate & Above,2.4,,,1412,1412,657,657
9224,India,17,Meghalaya,2018,"Agriculture Year (Jul - Jun), 2018",Urban,Male,Secondary,16.5,,,1412,1412,657,657
9225,India,17,Meghalaya,2018,"Agriculture Year (Jul - Jun), 2018",Urban,Male,Secondary & Above,57,,,1412,1412,657,657
9226,India,17,Meghalaya,2018,"Agriculture Year (Jul - Jun), 2018",Urban,Persons,Diploma/Certificate Course,0.5,,,3021,3021,1390,1390
9227,India,17,Meghalaya,2018,"Agriculture Year (Jul - Jun), 2018",Urban,Persons,Graduate,14.9,,,3021,3021,1390,1390
9228,India,17,Meghalaya,2018,"Agriculture Year (Jul - Jun), 2018",Urban,Persons,Higher Secondary,19.6,,,3021,3021,1390,1390
9229,India,17,Meghalaya,2018,"Agriculture Year (Jul - Jun), 2018",Urban,Persons,Literate & Upto Primary,15.5,,,3021,3021,1390,1390
9230,India,17,Meghalaya,2018,"Agriculture Year (Jul - Jun), 2018",Urban,Persons,Middle,28.3,,,3021,3021,1390,1390
9231,India,17,Meghalaya,2018,"Agriculture Year (Jul - Jun), 2018",Urban,Persons,Not Literate,3.9,,,3021,3021,1390,1390
9232,India,17,Meghalaya,2018,"Agriculture Year (Jul - Jun), 2018",Urban,Persons,Post Graduate & Above,2.6,,,3021,3021,1390,1390
9233,India,17,Meghalaya,2018,"Agriculture Year (Jul - Jun), 2018",Urban,Persons,Secondary,14.6,,,3021,3021,1390,1390
9234,India,17,Meghalaya,2018,"Agriculture Year (Jul - Jun), 2018",Urban,Persons,Secondary & Above,52.2,,,3021,3021,1390,1390
9235,India,17,Meghalaya,2019,"Agriculture Year (Jul - Jun), 2019",Rural,Female,Diploma/Certificate Course,0.1,,,7959,7959,1421,1421
9236,India,17,Meghalaya,2019,"Agriculture Year (Jul - Jun), 2019",Rural,Female,Graduate,2.9,,,7959,7959,1421,1421
9237,India,17,Meghalaya,2019,"Agriculture Year (Jul - Jun), 2019",Rural,Female,Higher Secondary,6,,,7959,7959,1421,1421
9238,India,17,Meghalaya,2019,"Agriculture Year (Jul - Jun), 2019",Rural,Female,Literate & Upto Primary,38.4,,,7959,7959,1421,1421
9239,India,17,Meghalaya,2019,"Agriculture Year (Jul - Jun), 2019",Rural,Female,Middle,36.5,,,7959,7959,1421,1421
9240,India,17,Meghalaya,2019,"Agriculture Year (Jul - Jun), 2019",Rural,Female,Not Literate,9.1,,,7959,7959,1421,1421
9241,India,17,Meghalaya,2019,"Agriculture Year (Jul - Jun), 2019",Rural,Female,Post Graduate & Above,0.1,,,7959,7959,1421,1421
9242,India,17,Meghalaya,2019,"Agriculture Year (Jul - Jun), 2019",Rural,Female,Secondary,6.9,,,7959,7959,1421,1421
9243,India,17,Meghalaya,2019,"Agriculture Year (Jul - Jun), 2019",Rural,Female,Secondary & Above,16,,,7959,7959,1421,1421
9244,India,17,Meghalaya,2019,"Agriculture Year (Jul - Jun), 2019",Rural,Male,Diploma/Certificate Course,0.2,,,7645,7645,1353,1353
9245,India,17,Meghalaya,2019,"Agriculture Year (Jul - Jun), 2019",Rural,Male,Graduate,3.1,,,7645,7645,1353,1353
9246,India,17,Meghalaya,2019,"Agriculture Year (Jul - Jun), 2019",Rural,Male,Higher Secondary,7.8,,,7645,7645,1353,1353
9247,India,17,Meghalaya,2019,"Agriculture Year (Jul - Jun), 2019",Rural,Male,Literate & Upto Primary,34.9,,,7645,7645,1353,1353
9248,India,17,Meghalaya,2019,"Agriculture Year (Jul - Jun), 2019",Rural,Male,Middle,35.7,,,7645,7645,1353,1353
9249,India,17,Meghalaya,2019,"Agriculture Year (Jul - Jun), 2019",Rural,Male,Not Literate,8.9,,,7645,7645,1353,1353
9250,India,17,Meghalaya,2019,"Agriculture Year (Jul - Jun), 2019",Rural,Male,Post Graduate & Above,0.5,,,7645,7645,1353,1353
9251,India,17,Meghalaya,2019,"Agriculture Year (Jul - Jun), 2019",Rural,Male,Secondary,8.8,,,7645,7645,1353,1353
9252,India,17,Meghalaya,2019,"Agriculture Year (Jul - Jun), 2019",Rural,Male,Secondary & Above,20.5,,,7645,7645,1353,1353
9253,India,17,Meghalaya,2019,"Agriculture Year (Jul - Jun), 2019",Rural,Persons,Diploma/Certificate Course,0.2,,,15604,15604,2774,2774
9254,India,17,Meghalaya,2019,"Agriculture Year (Jul - Jun), 2019",Rural,Persons,Graduate,3,,,15604,15604,2774,2774
9255,India,17,Meghalaya,2019,"Agriculture Year (Jul - Jun), 2019",Rural,Persons,Higher Secondary,6.9,,,15604,15604,2774,2774
9256,India,17,Meghalaya,2019,"Agriculture Year (Jul - Jun), 2019",Rural,Persons,Literate & Upto Primary,36.7,,,15604,15604,2774,2774
9257,India,17,Meghalaya,2019,"Agriculture Year (Jul - Jun), 2019",Rural,Persons,Middle,36.1,,,15604,15604,2774,2774
9258,India,17,Meghalaya,2019,"Agriculture Year (Jul - Jun), 2019",Rural,Persons,Not Literate,9,,,15604,15604,2774,2774
9259,India,17,Meghalaya,2019,"Agriculture Year (Jul - Jun), 2019",Rural,Persons,Post Graduate & Above,0.3,,,15604,15604,2774,2774
9260,India,17,Meghalaya,2019,"Agriculture Year (Jul - Jun), 2019",Rural,Persons,Secondary,7.8,,,15604,15604,2774,2774
9261,India,17,Meghalaya,2019,"Agriculture Year (Jul - Jun), 2019",Rural,Persons,Secondary & Above,18.2,,,15604,15604,2774,2774
9262,India,17,Meghalaya,2019,"Agriculture Year (Jul - Jun), 2019",Rural+Urban,Female,Diploma/Certificate Course,0.2,,,9932,9932,2156,2156
9263,India,17,Meghalaya,2019,"Agriculture Year (Jul - Jun), 2019",Rural+Urban,Female,Graduate,4.9,,,9932,9932,2156,2156
9264,India,17,Meghalaya,2019,"Agriculture Year (Jul - Jun), 2019",Rural+Urban,Female,Higher Secondary,8.2,,,9932,9932,2156,2156
9265,India,17,Meghalaya,2019,"Agriculture Year (Jul - Jun), 2019",Rural+Urban,Female,Literate & Upto Primary,34.5,,,9932,9932,2156,2156
9266,India,17,Meghalaya,2019,"Agriculture Year (Jul - Jun), 2019",Rural+Urban,Female,Middle,34.7,,,9932,9932,2156,2156
9267,India,17,Meghalaya,2019,"Agriculture Year (Jul - Jun), 2019",Rural+Urban,Female,Not Literate,7.9,,,9932,9932,2156,2156
9268,India,17,Meghalaya,2019,"Agriculture Year (Jul - Jun), 2019",Rural+Urban,Female,Post Graduate & Above,1,,,9932,9932,2156,2156
9269,India,17,Meghalaya,2019,"Agriculture Year (Jul - Jun), 2019",Rural+Urban,Female,Secondary,8.5,,,9932,9932,2156,2156
9270,India,17,Meghalaya,2019,"Agriculture Year (Jul - Jun), 2019",Rural+Urban,Female,Secondary & Above,22.9,,,9932,9932,2156,2156
9271,India,17,Meghalaya,2019,"Agriculture Year (Jul - Jun), 2019",Rural+Urban,Male,Diploma/Certificate Course,0.3,,,9448,9448,2030,2030
9272,India,17,Meghalaya,2019,"Agriculture Year (Jul - Jun), 2019",Rural+Urban,Male,Graduate,5.9,,,9448,9448,2030,2030
9273,India,17,Meghalaya,2019,"Agriculture Year (Jul - Jun), 2019",Rural+Urban,Male,Higher Secondary,10.2,,,9448,9448,2030,2030
9274,India,17,Meghalaya,2019,"Agriculture Year (Jul - Jun), 2019",Rural+Urban,Male,Literate & Upto Primary,31,,,9448,9448,2030,2030
9275,India,17,Meghalaya,2019,"Agriculture Year (Jul - Jun), 2019",Rural+Urban,Male,Middle,33.8,,,9448,9448,2030,2030
9276,India,17,Meghalaya,2019,"Agriculture Year (Jul - Jun), 2019",Rural+Urban,Male,Not Literate,7.6,,,9448,9448,2030,2030
9277,India,17,Meghalaya,2019,"Agriculture Year (Jul - Jun), 2019",Rural+Urban,Male,Post Graduate & Above,0.9,,,9448,9448,2030,2030
9278,India,17,Meghalaya,2019,"Agriculture Year (Jul - Jun), 2019",Rural+Urban,Male,Secondary,10.3,,,9448,9448,2030,2030
9279,India,17,Meghalaya,2019,"Agriculture Year (Jul - Jun), 2019",Rural+Urban,Male,Secondary & Above,27.5,,,9448,9448,2030,2030
9280,India,17,Meghalaya,2019,"Agriculture Year (Jul - Jun), 2019",Rural+Urban,Persons,Diploma/Certificate Course,0.2,,,19380,19380,4186,4186
9281,India,17,Meghalaya,2019,"Agriculture Year (Jul - Jun), 2019",Rural+Urban,Persons,Graduate,5.4,,,19380,19380,4186,4186
9282,India,17,Meghalaya,2019,"Agriculture Year (Jul - Jun), 2019",Rural+Urban,Persons,Higher Secondary,9.2,,,19380,19380,4186,4186
9283,India,17,Meghalaya,2019,"Agriculture Year (Jul - Jun), 2019",Rural+Urban,Persons,Literate & Upto Primary,32.8,,,19380,19380,4186,4186
9284,India,17,Meghalaya,2019,"Agriculture Year (Jul - Jun), 2019",Rural+Urban,Persons,Middle,34.3,,,19380,19380,4186,4186
9285,India,17,Meghalaya,2019,"Agriculture Year (Jul - Jun), 2019",Rural+Urban,Persons,Not Literate,7.8,,,19380,19380,4186,4186
9286,India,17,Meghalaya,2019,"Agriculture Year (Jul - Jun), 2019",Rural+Urban,Persons,Post Graduate & Above,1,,,19380,19380,4186,4186
9287,India,17,Meghalaya,2019,"Agriculture Year (Jul - Jun), 2019",Rural+Urban,Persons,Secondary,9.4,,,19380,19380,4186,4186
9288,India,17,Meghalaya,2019,"Agriculture Year (Jul - Jun), 2019",Rural+Urban,Persons,Secondary & Above,25.2,,,19380,19380,4186,4186
9289,India,17,Meghalaya,2019,"Agriculture Year (Jul - Jun), 2019",Urban,Female,Diploma/Certificate Course,0.6,,,1973,1973,735,735
9290,India,17,Meghalaya,2019,"Agriculture Year (Jul - Jun), 2019",Urban,Female,Graduate,13.4,,,1973,1973,735,735
9291,India,17,Meghalaya,2019,"Agriculture Year (Jul - Jun), 2019",Urban,Female,Higher Secondary,17,,,1973,1973,735,735
9292,India,17,Meghalaya,2019,"Agriculture Year (Jul - Jun), 2019",Urban,Female,Literate & Upto Primary,18.6,,,1973,1973,735,735
9293,India,17,Meghalaya,2019,"Agriculture Year (Jul - Jun), 2019",Urban,Female,Middle,27.5,,,1973,1973,735,735
9294,India,17,Meghalaya,2019,"Agriculture Year (Jul - Jun), 2019",Urban,Female,Not Literate,2.9,,,1973,1973,735,735
9295,India,17,Meghalaya,2019,"Agriculture Year (Jul - Jun), 2019",Urban,Female,Post Graduate & Above,4.8,,,1973,1973,735,735
9296,India,17,Meghalaya,2019,"Agriculture Year (Jul - Jun), 2019",Urban,Female,Secondary,15.2,,,1973,1973,735,735
9297,India,17,Meghalaya,2019,"Agriculture Year (Jul - Jun), 2019",Urban,Female,Secondary & Above,50.9,,,1973,1973,735,735
9298,India,17,Meghalaya,2019,"Agriculture Year (Jul - Jun), 2019",Urban,Male,Diploma/Certificate Course,0.3,,,1803,1803,677,677
9299,India,17,Meghalaya,2019,"Agriculture Year (Jul - Jun), 2019",Urban,Male,Graduate,17.5,,,1803,1803,677,677
9300,India,17,Meghalaya,2019,"Agriculture Year (Jul - Jun), 2019",Urban,Male,Higher Secondary,20.4,,,1803,1803,677,677
9301,India,17,Meghalaya,2019,"Agriculture Year (Jul - Jun), 2019",Urban,Male,Literate & Upto Primary,14.5,,,1803,1803,677,677
9302,India,17,Meghalaya,2019,"Agriculture Year (Jul - Jun), 2019",Urban,Male,Middle,26,,,1803,1803,677,677
9303,India,17,Meghalaya,2019,"Agriculture Year (Jul - Jun), 2019",Urban,Male,Not Literate,2.3,,,1803,1803,677,677
9304,India,17,Meghalaya,2019,"Agriculture Year (Jul - Jun), 2019",Urban,Male,Post Graduate & Above,2.3,,,1803,1803,677,677
9305,India,17,Meghalaya,2019,"Agriculture Year (Jul - Jun), 2019",Urban,Male,Secondary,16.6,,,1803,1803,677,677
9306,India,17,Meghalaya,2019,"Agriculture Year (Jul - Jun), 2019",Urban,Male,Secondary & Above,57.1,,,1803,1803,677,677
9307,India,17,Meghalaya,2019,"Agriculture Year (Jul - Jun), 2019",Urban,Persons,Diploma/Certificate Course,0.4,,,3776,3776,1412,1412
9308,India,17,Meghalaya,2019,"Agriculture Year (Jul - Jun), 2019",Urban,Persons,Graduate,15.4,,,3776,3776,1412,1412
9309,India,17,Meghalaya,2019,"Agriculture Year (Jul - Jun), 2019",Urban,Persons,Higher Secondary,18.6,,,3776,3776,1412,1412
9310,India,17,Meghalaya,2019,"Agriculture Year (Jul - Jun), 2019",Urban,Persons,Literate & Upto Primary,16.7,,,3776,3776,1412,1412
9311,India,17,Meghalaya,2019,"Agriculture Year (Jul - Jun), 2019",Urban,Persons,Middle,26.8,,,3776,3776,1412,1412
9312,India,17,Meghalaya,2019,"Agriculture Year (Jul - Jun), 2019",Urban,Persons,Not Literate,2.6,,,3776,3776,1412,1412
9313,India,17,Meghalaya,2019,"Agriculture Year (Jul - Jun), 2019",Urban,Persons,Post Graduate & Above,3.6,,,3776,3776,1412,1412
9314,India,17,Meghalaya,2019,"Agriculture Year (Jul - Jun), 2019",Urban,Persons,Secondary,15.9,,,3776,3776,1412,1412
9315,India,17,Meghalaya,2019,"Agriculture Year (Jul - Jun), 2019",Urban,Persons,Secondary & Above,53.9,,,3776,3776,1412,1412
